Complaint ID,Date Received,Banking Product,Department,Issue ID,Complaint Description,State,ZIP,Bank Response
CID76118977,1/1/2023,Checking or savings account,CASA,,xxxxxx<NUM><NUM> opened safe balance account online using payroll check <NUM><NUM><NUM><NUM><NUM> account opener xxxxxx<NUM><NUM> attempted login app received account locked contact customer service xxxx error message placed call told would go branch verify identity did time told positive balance <NUM><NUM><NUM><NUM><NUM> could make withdrawal teller <NUM><NUM><NUM><NUM><NUM> leaving balance <NUM><NUM><NUM><NUM><NUM> shortly that deposited mobile check <NUM>xx<NUM><NUM> xxxxxx<NUM><NUM> attempted login received previous error message along <NUM> email stating hold placed account contacting previous number told acct closed risk dept due lack identity verification told done day before told matter account already closed reversible asked balance told overdrawn <NUM><NUM><NUM><NUM><NUM> would pay could set new acct none make logically sense anyway seem legal contacted attorney suggested attempt resolve issue supervisor manager make court filing now caused unnecessary stress put family serious financial hardship suffering force miss xxxx family due lack fund travel way pay propane cooking heating home mortgage payment car registration insurance past due resulting late fee totalling <NUM><NUM><NUM><NUM><NUM> caused poorly trained bank employee,California,92311,Closed with monetary relief
CID98703933,1/1/2023,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_3798538,item bank abc credit report belong must removed fraud item always return back confirming account belongs proof need item removed credit report effecting life look legal mean get solved soon,California,91344,
CID52036665,1/1/2023,,,,xxxxxx<NUM><NUM> found account frozen apparent reason went boa branch xxxx xxxx ny explained whats going made call beleived call fixed income boa holding fund hostage reason xxxx xxxxxxxx fixed income xxxx child afford high corporation bank boa keep getting away this,,10466,Closed with monetary relief
CID85022786,1/1/2023,,Credit Cards,I_2805744,so last time phone b prepaid regarding edd account told actually multiple card remained active time current card active believe right file claim entire account since dont even know card active time refuse let file claim,California,,Closed with explanation
CID90664453,1/1/2023,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_8801555,got <NUM> hard inquiry dont recognize xxxx xxxx xxxx xxxxxxxx <NUM> bk abc xxxxxxxx xxxxxxxx xxxxxxxx xxxx xxxx xxxxxxxxxxxx xxxx,Arizona,85710,Closed with explanation
CID95238935,1/2/2023,Debt collection,Loans,I_1570149,xxxx xx<NUM><NUM> discovered former tenant stolen identity found eviction process reviewing entire credit report several bank abc account opened name immediately notified bank abc fraud unit also provided police report ftc report driver license utility bill bank abc continues affirm account stating payment made account checking account name ive tried object decision three fraudulent checking account also opened fraudsters know aside filing lawsuit company,California,90723,Closed with explanation
CID61745687,,,,I_9017186,i consumer aware proof bank abc continues violate consumer right observed least <NUM> violation pursuant xx usc xx<NUM><NUM>f bank abc received cease desist reference matter xxxxxx<NUM><NUM> failed provide result investigation finding used determine action withholding consumer fund reported electronic transfer error since xxxxxx<NUM><NUM> notice right request reproduction mail consumer reproduction document financial institution relied conclude error occur returning fund directed consumer boa continues violate consumer pursuant xx usc xx<NUM><NUM> f result gross negligent willful behavior injured numerous time,Michigan,48237,Closed with monetary relief
CID72502780,1/2/2023,"Credit reporting, credit repair services, or other personal consumer reports",Credit Reports,I_7782152,filed dispute regard inaccurate account consumer report well <NUM><NUM> day received investigation result,New York,11003,Closed with explanation
CID74728465,1/2/2023,,Credit Cards,I_2292291,purchase good xxxx xxxx using bank abc xxxx card nonreceipt goodsboa wont file dispute give credit complaint bank abc xxxx xxxx card refusing file dispute behalf merchandise delivered company called xxxx screen print boa account attached showing charge xxxxxxxx screen print show record message tab dispute filed called least twice spoke boa agent asking dispute filed yet try click transaction myself file dispute online correct problem prevented filing dispute told would filing duplicate dispute background complaint xxxx xxxx purchased <NUM> belt pinterest ad popped up used master card pay them nothing mentioned order blank item came xxxx would cause delay delivery mention item stock received confirmation order noted would delay delivery xxxx xxxx business day confirmation email also tracking number tracking number group apparently xxxx clicked tracking number give specific appeared tracking something coming where contacted seller email xxxxxxxx xxxx pm received email xxxx xxxx xxxx confirming order ant chged xxxx <NUM><NUM><NUM><NUM> usd clicked view order given shipper tracking number shipper xxxx tracking number xxxx clicked tracking number sent yet looked xxxx xxxx found xxxx xxxx xxxx xxxx xxxx xxxx xxxx ca xxxx address according usps record xxxx houseresidence xxxx xxxx xxxx california address rental propertyin xxxx xxxx interesting confirmed order page sent me specifies amount paid followed usd fact company office stateside united state u firm shouldnt need specdify amount paid u dollar rtight xxxxxxxx xxxx xxxx received email xxxx indicating order way first link track order xxxx useless take app page yyou get xxxx app downloaded since want xxxx app xxxx dowm load app clicked tracking link company tracking number also stated get shipping delivery update email text received email text order update ihave go past email xxxx click tracking number find status xxxx xxxx xxxx emailed seller website asking would arrive xxxxxxxx xxxx xxxx seller responded email address told order take xxxx xxxx business day arrive destination also given link tracking number again way way escalate stock sale stock exchange year end claiming sale roof fact product sell ship right xxxxxxxx xxxx xxxx contacted seller again complaining item even show trackable wanted reverse credit card charge xxxxxxxx xxxxxxxx xxxx get return email telling again order take xxxx xxxx business deays arrive seller address concern now link show item going anywhere link indicate city in city going to expected arrival date is iwas told already transit arriving time frame xxxx xxxx xxxx item exists sent item apparently stuck somewhere perhaps even sent received item bank abc filed dispute me asked prevented filing dispute online tell duplicate dispute contacted email seller answer direct question like city now date expecting it xxxxxxxx finding delivery date far out asked cancel item email request cancel order ignored instead sent another email told could track clicking link email realized seller intention cancelling order requested email contacted bank abc xxxx xxxx art xxxx number explained above asked file dispute item credit card statement online fellow boa xxxx xxxx number sounded like taking relevant information gave him said filed dispute me shortly thereafter received email went online boa xxxx account see message center referred to email sound email sounded like boa agent filed dispute xxxx expected that going account message account online email communication whatsoever dispute thought filed forme xxxx charge date called boa spoke to asked status dispute told could take xxxx xxxx hour fore show up would receive notification writing usps xxxx message account xxxxxxxx contacted bank abc again gave detail regarding transaction file dispute tracking number xxxx transaction date xxxxxxxx reference number xxxx told ordered xx day ago <NUM><NUM><NUM><NUM> item charged account date yet received merchandise little satisfaction emailing them told put dispute then xxxxxxxx xxxx am called boa again spoke person called xxxx explained phone filed dispute xxxxxxxx yet received confirmation etc filed xxxx said xxxx xxxx xxxx xxxx great charge still boa statement appears pay xxxx unless boa put pending status further still nothing writing dispute officially filed case credit anything speaks poor procedure following bank abc part people call file dispute recorded account visibly card holder see going on point sunday xxxxxxxx still notification dipute filed crovable sold belt immediately charged credit card yet yet delivered furthermore usps letter boa xxxxxxxx xxxx received stating xxxx issue even process message xxxx dispute bank abc online message center thus since noo proof writing dispute filed xxxx far concerned boa never filed dispute,New York,,
CID65522280,,Checking or savings account,CASA,I_3648593,boa make difficult make reg e claim criminal im bank expert know shouldnt hard sent email likely fraudulent transaction wa go mobile banking low tran business acct clearly fraud tried dispute via mobile go internet banking enter last <NUM> dc done enter tin done <NUM> digit code via text done new passcode done repeat repeat stuck loop call extended hold time turn internet banking us debit card since debit card hold dispute internet banking frustratingly hold message keep saying could dispute mobile internet banking infuriating <NUM><NUM> minute hold spend xx minute call dispute obviously fraudulent set transaction process done via text mobile banking minute seems bofa make confusing difficult purpose,Florida,33572,
